timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699815634570,192682,CCF9579B223C,6C1DEBA4241B,-64,18,-52,-10,38
1699815634576,192709,CCF9579B223C,6C1DEBA4241B,-64,18,-52,-10,38
1699815634609,192736,CCF9579B223C,6C1DEBA4241B,-69,18,-53,-10,39
1699815634614,2102742,CCF9579B217F,6C1DEBA4241B,-62,-32,-50,6,39
1699815634632,2102771,CCF9579B217F,6C1DEBA4241B,-62,-32,-51,6,39
1699815634645,192765,CCF9579B223C,6C1DEBA4241B,-69,20,-54,-10,39
1699815634684,2102823,CCF9579B217F,6C1DEBA4241B,-61,-32,-50,6,39
1699815634719,2102848,CCF9579B217F,6C1DEBA4241B,-61,-32,-51,6,39
1699815634758,2102889,CCF9579B217F,6C1DEBA4241B,-71,-32,-58,6,38
1699815634761,192841,CCF9579B223C,6C1DEBA4241B,-64,20,-52,-8,38
1699815634762,192861,CCF9579B223C,6C1DEBA4241B,-75,20,-56,-6,37
1699815634772,2102911,CCF9579B217F,6C1DEBA4241B,-61,-32,-49,6,39
1699815634792,2102931,CCF9579B217F,6C1DEBA4241B,-71,-32,-59,6,38
1699815634793,192926,CCF9579B223C,6C1DEBA4241B,-74,22,-56,-6,39
1699815634875,2103004,CCF9579B217F,6C1DEBA4241B,-58,-32,-60,6,37
1699815634875,192998,CCF9579B223C,6C1DEBA4241B,-74,26,-56,-4,37
1699815634955,2103083,CCF9579B217F,6C1DEBA4241B,-71,-32,-58,6,38
1699815634972,2103111,CCF9579B217F,6C1DEBA4241B,-71,-30,-58,6,38
1699815634981,193104,CCF9579B223C,6C1DEBA4241B,-74,26,-56,-4,37
1699815634994,2103133,CCF9579B217F,6C1DEBA4241B,-58,-30,-60,6,37
1699815634995,193128,CCF9579B223C,6C1DEBA4241B,-67,26,-52,-4,39
1699815635018,193149,CCF9579B223C,6C1DEBA4241B,-63,28,-52,-4,38
1699815635091,2103213,CCF9579B217F,6C1DEBA4241B,-70,-30,-57,6,38
1699815635111,193235,CCF9579B223C,6C1DEBA4241B,-72,28,-56,-6,37
1699815635115,2103241,CCF9579B217F,6C1DEBA4241B,-58,-30,-60,6,37
1699815635130,2103269,CCF9579B217F,6C1DEBA4241B,-58,-28,-60,6,37
1699815635165,2103295,CCF9579B217F,6C1DEBA4241B,-58,-28,-60,6,37
1699815635167,193289,CCF9579B223C,6C1DEBA4241B,-64,32,-52,-6,38
1699815635181,2103318,CCF9579B217F,6C1DEBA4241B,-60,-28,-50,6,39
1699815635205,2103344,CCF9579B217F,6C1DEBA4241B,-66,-28,-59,6,37
1699815635208,193339,CCF9579B223C,6C1DEBA4241B,-63,32,-50,-8,39
1699815635231,193361,CCF9579B223C,6C1DEBA4241B,-64,36,-52,-10,38
1699815635249,2103388,CCF9579B217F,6C1DEBA4241B,-58,-28,-60,6,37
1699815635250,193383,CCF9579B223C,6C1DEBA4241B,-64,36,-52,-12,38
1699815635279,2103411,CCF9579B217F,6C1DEBA4241B,-69,-28,-57,6,38
1699815635298,2103435,CCF9579B217F,6C1DEBA4241B,-58,-28,-60,6,37
1699815635310,193430,CCF9579B223C,6C1DEBA4241B,-65,36,-52,-12,38
1699815635323,2103460,CCF9579B217F,6C1DEBA4241B,-69,-28,-57,6,38
1699815635344,2103482,CCF9579B217F,6C1DEBA4241B,-58,-28,-60,6,37
1699815635385,193507,CCF9579B223C,6C1DEBA4241B,-63,38,-50,-12,39
1699815635400,193533,CCF9579B223C,6C1DEBA4241B,-63,40,-50,-14,39
1699815635454,193587,CCF9579B223C,6C1DEBA4241B,-65,40,-52,-14,38
1699815635467,2103594,CCF9579B217F,6C1DEBA4241B,-62,-28,-51,6,39
1699815635493,193616,CCF9579B223C,6C1DEBA4241B,-64,40,-52,-14,38
1699815635508,2103647,CCF9579B217F,6C1DEBA4241B,-62,-28,-51,6,39
1699815635510,193641,CCF9579B223C,6C1DEBA4241B,-63,42,-49,-14,39
1699815635595,2103724,CCF9579B217F,6C1DEBA4241B,-62,-26,-51,6,39
1699815635616,2103753,CCF9579B217F,6C1DEBA4241B,-62,-26,-51,4,39
1699815635623,193746,CCF9579B223C,6C1DEBA4241B,-72,42,-56,-14,37
1699815635643,2103782,CCF9579B217F,6C1DEBA4241B,-71,-26,-58,4,38
1699815635705,2103834,CCF9579B217F,6C1DEBA4241B,-63,-26,-51,4,39
1699815635765,2103903,CCF9579B217F,6C1DEBA4241B,-58,-26,-60,4,37
1699815635766,193898,CCF9579B223C,6C1DEBA4241B,-59,42,-52,-14,38
1699815635788,2103927,CCF9579B217F,6C1DEBA4241B,-72,-26,-59,4,38
1699815635828,2103954,CCF9579B217F,6C1DEBA4241B,-63,-26,-50,4,39
1699815635840,2103979,CCF9579B217F,6C1DEBA4241B,-73,-26,-56,4,38
1699815635848,193972,CCF9579B223C,6C1DEBA4241B,-63,44,-55,-14,37
1699815635864,2104003,CCF9579B217F,6C1DEBA4241B,-63,-26,-50,4,39
1699815635864,193996,CCF9579B223C,6C1DEBA4241B,-54,44,-49,-14,39
1699815635889,194022,CCF9579B223C,6C1DEBA4241B,-53,44,-49,-14,39
1699815635890,2104028,CCF9579B217F,6C1DEBA4241B,-63,-26,-50,4,39
1699815635910,194043,CCF9579B223C,6C1DEBA4241B,-53,44,-49,-14,39
1699815635934,194064,CCF9579B223C,6C1DEBA4241B,-52,44,-50,-14,39
1699815635939,2104070,CCF9579B217F,6C1DEBA4241B,-64,-26,-50,4,39
1699815636007,194140,CCF9579B223C,6C1DEBA4241B,-50,44,-50,-14,39
1699815636038,194160,CCF9579B223C,6C1DEBA4241B,-55,44,-52,-14,38
1699815636038,2104167,CCF9579B217F,6C1DEBA4241B,-64,-26,-49,4,39
1699815636056,2104194,CCF9579B217F,6C1DEBA4241B,-63,-26,-50,4,39
1699815636103,2104240,CCF9579B217F,6C1DEBA4241B,-63,-24,-49,4,39
1699815636103,194234,CCF9579B223C,6C1DEBA4241B,-50,44,-50,-14,39
1699815636122,2104261,CCF9579B217F,6C1DEBA4241B,-74,-24,-58,4,38
1699815636122,194255,CCF9579B223C,6C1DEBA4241B,-54,44,-53,-14,38
1699815636146,2104284,CCF9579B217F,6C1DEBA4241B,-62,-24,-49,4,39
1699815636154,194277,CCF9579B223C,6C1DEBA4241B,-59,44,-56,-14,37
1699815636171,2104309,CCF9579B217F,6C1DEBA4241B,-61,-24,-49,4,39
1699815636192,194325,CCF9579B223C,6C1DEBA4241B,-58,44,-56,-14,37
1699815636192,2104331,CCF9579B217F,6C1DEBA4241B,-72,-24,-58,4,38
1699815636218,2104357,CCF9579B217F,6C1DEBA4241B,-71,-26,-58,4,38
1699815636218,194350,CCF9579B223C,6C1DEBA4241B,-54,44,-53,-14,38
1699815636271,2104410,CCF9579B217F,6C1DEBA4241B,-61,-26,-50,4,39
1699815636279,194403,CCF9579B223C,6C1DEBA4241B,-58,44,-56,-14,37
1699815636298,2104437,CCF9579B217F,6C1DEBA4241B,-61,-26,-49,4,39
1699815636346,2104484,CCF9579B217F,6C1DEBA4241B,-69,-26,-57,4,38
1699815636346,194478,CCF9579B223C,6C1DEBA4241B,-54,30,-53,-8,38
1699815636389,2104528,CCF9579B217F,6C1DEBA4241B,-61,-26,-60,4,37
1699815636441,194572,CCF9579B223C,6C1DEBA4241B,-57,30,-57,4,37
1699815636442,2104578,CCF9579B217F,6C1DEBA4241B,-67,-26,-57,4,38
1699815636476,194599,CCF9579B223C,6C1DEBA4241B,-54,30,-54,4,38
1699815636491,2104628,CCF9579B217F,6C1DEBA4241B,-61,-26,-61,4,37
1699815636491,194622,CCF9579B223C,6C1DEBA4241B,-57,30,-57,4,37
1699815636514,194647,CCF9579B223C,6C1DEBA4241B,-48,30,-51,6,39
1699815636514,2104653,CCF9579B217F,6C1DEBA4241B,-59,-26,-50,4,39
1699815636555,194688,CCF9579B223C,6C1DEBA4241B,-57,30,-58,8,37
1699815636611,2104750,CCF9579B217F,6C1DEBA4241B,-62,-26,-61,4,37
1699815636620,194744,CCF9579B223C,6C1DEBA4241B,-57,30,-58,10,37
1699815636657,2104796,CCF9579B217F,6C1DEBA4241B,-62,-24,-61,4,37
1699815636686,2104825,CCF9579B217F,6C1DEBA4241B,-63,-22,-58,4,38
1699815636696,194819,CCF9579B223C,6C1DEBA4241B,-53,30,-54,10,38
1699815636705,2104844,CCF9579B217F,6C1DEBA4241B,-62,-22,-61,4,37
1699815636706,194838,CCF9579B223C,6C1DEBA4241B,-57,30,-57,10,37
1699815636730,2104869,CCF9579B217F,6C1DEBA4241B,-62,-22,-58,4,38
1699815636731,194863,CCF9579B223C,6C1DEBA4241B,-47,30,-51,12,39
1699815636773,2104912,CCF9579B217F,6C1DEBA4241B,-61,-22,-57,4,38
1699815636799,2104938,CCF9579B217F,6C1DEBA4241B,-62,-20,-60,4,37
1699815636828,2104966,CCF9579B217F,6C1DEBA4241B,-59,-20,-50,4,39
1699815636852,2104991,CCF9579B217F,6C1DEBA4241B,-59,-20,-49,4,39
1699815636881,2105019,CCF9579B217F,6C1DEBA4241B,-61,-20,-50,4,39
1699815636906,2105045,CCF9579B217F,6C1DEBA4241B,-61,-18,-50,4,39
1699815636933,2105072,CCF9579B217F,6C1DEBA4241B,-59,-18,-57,4,38
1699815636950,194933,CCF9579B223C,6C1DEBA4241B,-47,30,-51,12,39
1699815636950,194960,CCF9579B223C,6C1DEBA4241B,-54,30,-56,14,38
1699815636950,195012,CCF9579B223C,6C1DEBA4241B,-55,30,-55,14,38
1699815636950,195038,CCF9579B223C,6C1DEBA4241B,-62,30,-59,14,37
1699815636951,195066,CCF9579B223C,6C1DEBA4241B,-50,30,-52,14,39
1699815636958,2105097,CCF9579B217F,6C1DEBA4241B,-61,-18,-51,4,39
1699815636959,195091,CCF9579B223C,6C1DEBA4241B,-50,32,-53,14,39
1699815636986,2105125,CCF9579B217F,6C1DEBA4241B,-59,-18,-50,4,39
1699815637007,2105146,CCF9579B217F,6C1DEBA4241B,-58,-18,-57,4,38
1699815637043,195118,CCF9579B223C,6C1DEBA4241B,-50,32,-53,14,39
1699815637043,195140,CCF9579B223C,6C1DEBA4241B,-56,32,-57,14,38
1699815637045,195166,CCF9579B223C,6C1DEBA4241B,-50,32,-53,14,39
1699815637062,195194,CCF9579B223C,6C1DEBA4241B,-63,32,-59,16,37
1699815637109,2105248,CCF9579B217F,6C1DEBA4241B,-63,-18,-60,4,37
1699815637119,195242,CCF9579B223C,6C1DEBA4241B,-63,32,-59,16,37
1699815637139,2105278,CCF9579B217F,6C1DEBA4241B,-56,-18,-50,4,39
1699815637139,195272,CCF9579B223C,6C1DEBA4241B,-50,32,-53,16,39
1699815637218,2105357,CCF9579B217F,6C1DEBA4241B,-57,-18,-58,4,38
1699815637229,195350,CCF9579B223C,6C1DEBA4241B,-61,32,-59,16,37
1699815637267,2105406,CCF9579B217F,6C1DEBA4241B,-57,-18,-50,4,39
1699815637267,195399,CCF9579B223C,6C1DEBA4241B,-56,32,-58,16,38
1699815637290,2105429,CCF9579B217F,6C1DEBA4241B,-57,-18,-50,2,39
1699815637291,195422,CCF9579B223C,6C1DEBA4241B,-56,32,-58,16,38
1699815637339,2105477,CCF9579B217F,6C1DEBA4241B,-59,-18,-59,2,38
1699815637384,2105523,CCF9579B217F,6C1DEBA4241B,-63,-18,-60,0,37
1699815637406,2105545,CCF9579B217F,6C1DEBA4241B,-61,-18,-51,0,39
