timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699814622508,1090586,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-4,39
1699814622546,1090614,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-4,39
1699814622559,1090634,CCF9579B217F,6C1DEBA4241B,-71,-6,-61,-4,38
1699814622586,1090660,CCF9579B217F,6C1DEBA4241B,-69,-6,-61,-4,38
1699814622612,1090690,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-4,39
1699814622645,1090713,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-4,37
1699814622715,1090793,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-4,38
1699814622776,1090845,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-4,39
1699814622793,1090871,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-2,38
1699814622841,1090918,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-2,37
1699814622875,1090948,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814622894,1090969,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814622948,1091025,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-2,37
1699814622986,1091054,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623003,1091081,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-2,37
1699814623039,1091111,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-2,37
1699814623093,1091161,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623136,1091214,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-2,37
1699814623162,1091238,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623192,1091261,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623236,1091314,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623264,1091341,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-2,38
1699814623318,1091386,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-2,38
1699814623331,1091410,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-2,38
1699814623362,1091439,CCF9579B217F,6C1DEBA4241B,-56,-6,-54,-2,39
1699814623381,1091459,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-4,38
1699814623443,1091511,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-4,37
1699814623461,1091539,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-4,37
1699814623488,1091566,CCF9579B217F,6C1DEBA4241B,-70,-6,-62,-4,38
1699814623518,1091596,CCF9579B217F,6C1DEBA4241B,-70,-6,-61,-4,38
1699814623544,1091622,CCF9579B217F,6C1DEBA4241B,-57,-6,-54,-4,39
1699814623593,1091670,CCF9579B217F,6C1DEBA4241B,-69,-6,-62,-4,38
1699814623652,1091720,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-4,37
1699814623697,1091775,CCF9579B217F,6C1DEBA4241B,-65,-6,-56,-4,37
1699814623787,1091855,CCF9579B217F,6C1DEBA4241B,-65,-6,-62,-4,37
1699814623815,1091885,CCF9579B217F,6C1DEBA4241B,-68,-6,-62,-4,38
1699814623897,1091964,CCF9579B217F,6C1DEBA4241B,-67,-6,-62,-4,38
1699814623912,1091989,CCF9579B217F,6C1DEBA4241B,-67,-6,-62,-4,38
