timestamp,boot_timestamp,anchor_id,tag_id,rssi_pol1,angle_azimuth,rssi_pol2,angle_elevation,channel
1699814622535,830860,CCF9579B223C,6C1DEBA4241B,-62,-4,-72,-4,37
1699814622536,830914,CCF9579B223C,6C1DEBA4241B,-54,-4,-63,-4,38
1699814622536,830983,CCF9579B223C,6C1DEBA4241B,-50,-4,-56,-4,39
1699814622630,831031,CCF9579B223C,6C1DEBA4241B,-50,-4,-57,-4,39
1699814622630,831056,CCF9579B223C,6C1DEBA4241B,-54,-4,-63,-4,38
1699814622631,831087,CCF9579B223C,6C1DEBA4241B,-50,-4,-57,-6,39
1699814622635,831110,CCF9579B223C,6C1DEBA4241B,-62,-4,-71,-6,37
1699814622727,831190,CCF9579B223C,6C1DEBA4241B,-54,-4,-63,-6,38
1699814622766,831240,CCF9579B223C,6C1DEBA4241B,-62,-4,-69,-6,37
1699814622849,831289,CCF9579B223C,6C1DEBA4241B,-54,-4,-64,-6,38
1699814622855,831316,CCF9579B223C,6C1DEBA4241B,-50,-4,-56,-6,39
1699814622873,831344,CCF9579B223C,6C1DEBA4241B,-54,-4,-64,-6,38
1699814622901,831365,CCF9579B223C,6C1DEBA4241B,-54,-4,-63,-6,38
1699814622949,831423,CCF9579B223C,6C1DEBA4241B,-51,-4,-57,-6,39
1699814622975,831449,CCF9579B223C,6C1DEBA4241B,-62,-4,-71,-6,37
1699814623009,831479,CCF9579B223C,6C1DEBA4241B,-51,-4,-57,-6,39
1699814623038,831508,CCF9579B223C,6C1DEBA4241B,-51,-4,-57,-6,39
1699814623061,831528,CCF9579B223C,6C1DEBA4241B,-51,-4,-57,-6,39
1699814623083,831557,CCF9579B223C,6C1DEBA4241B,-54,-4,-64,-6,38
1699814623147,831612,CCF9579B223C,6C1DEBA4241B,-51,-4,-56,-6,39
1699814623167,831633,CCF9579B223C,6C1DEBA4241B,-61,-4,-72,-6,37
1699814623183,831657,CCF9579B223C,6C1DEBA4241B,-51,-4,-57,-6,39
1699814623209,831682,CCF9579B223C,6C1DEBA4241B,-62,-4,-66,-6,37
1699814623243,831710,CCF9579B223C,6C1DEBA4241B,-62,-4,-73,-6,37
1699814623266,831737,CCF9579B223C,6C1DEBA4241B,-61,-4,-72,-6,37
1699814623310,831783,CCF9579B223C,6C1DEBA4241B,-54,-4,-64,-6,38
1699814623332,831806,CCF9579B223C,6C1DEBA4241B,-61,-4,-72,-6,37
1699814623360,831835,CCF9579B223C,6C1DEBA4241B,-54,-4,-64,-6,38
