accuracy,biggest_difference
0.35568770602763444,6
0.35568770602763444,6
0.35568770602763444,6
0.35568770602763455,6
0.35568770602763455,6
0.35568770602763455,6
0.3556877060276343,6
0.35568770602763444,6
0.35568770602763455,6
0.35568770602763455,6
0.35568770602763455,6
0.35568770602763455,6
0.3556877060276343,6
0.3556877060276343,6
0.2713359688439014,6
0.33515657727486803,6
0.2594655936860554,6
0.2313152540630983,6
0.19091129176599758,4
0.1619713055235576,4
0.2715644508436996,6
0.35568770602763444,6
0.3556877060276348,6
0.3556877060276343,6
0.35568770602763444,6
0.3556877060276343,6
0.3556877060276343,6
0.3556877060276343,6
0.3328831897052395,6
0.33288318970523906,6
0.33288318970523906,6
0.33288318970523895,6
0.3328831897052387,6
0.3328831897052395,6
0.332883189705239,6
0.33288318970523895,6
0.3328831897052391,6
0.33288318970523906,6
0.33288318970523856,6
0.33288318970523895,6
0.33288318970523906,6
0.33288318970523945,6
0.22757053820313125,4
0.2275705382031298,4
0.22757053820312925,4
0.2275705382031303,4
0.1558893295864918,4
0.12923420756935863,2
0.12923420756935863,2
0.1292342075693584,2
2.2691665960168326,2
0.9697257427899353,2
0.1292342075693584,2
0.12923420756935886,2
0.1097917842090822,2
0.12923420756935886,2
0.11160068712467605,2
0.10650834694983047,2
0.10650834694983047,2
0.10650834694983047,2
0.10650834694983047,2
0.10650834694983047,2
0.10650834694983047,2
0.8719597457461167,2
1.7428571428571429,0
1.7428571428571429,0
1.7428571428571429,0
1.0166666666666666,0
1.7428571428571429,0
0.8714285714285714,0
0.7643574144289416,2
0.10650834694983091,2
0.10650834694983091,2
0.10650834694983091,2
nan,2
0.14662427237574496,12
0.06167418133813202,10
0.06167418133813232,10
0.06167418133813202,10
0.05603082854809463,10
0.09886997973521983,8
0.09886997973521983,8
0.09886997973522009,8
0.09886997973522009,8
0.09886997973522009,8
0.09886997973521983,8
0.09886997973521983,8
0.09886997973521983,8
0.09886997973521983,8
0.09314780286112066,10
0.03779729116081798,10
0.0377972911608182,10
0.0377972911608182,10
0.03779729116081798,10
0.0377972911608182,10
0.23265581684151565,14
0.19502262547808802,16
0.12094174845498326,18
0.03844730986640036,18
0.03844730986640036,18
0.03844730986640036,18
0.03844730986640036,18
0.03844730986640036,18
0.03844730986640036,18
0.038447309866400346,18
0.03844730986640036,18
0.01687627611224861,18
0.08663795673303834,18
0.08663795673303834,18
0.16042325260244986,16
0.14444092035903655,16
0.14444092035903655,16
0.14444092035903655,16
0.12542657343563635,18
0.008994926489635846,18
0.8334794610585334,12
0.833479461058533,12
0.833479461058533,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.4840832711351938,18
0.36645411700522673,20
0.36645411700522706,20
0.36645411700522673,20
0.36645411700522706,20
0.36645411700522673,20
0.36645411700522706,20
0.3664541170052269,20
0.36645411700522673,20
0.36645411700522673,20
0.4840832711351938,18
0.8664506519997296,12
0.9489274962947258,10
0.9475907563345733,10
0.9475907563345736,10
0.2990813054393899,24
0.1331595218316383,24
0.14917376281632827,24
0.24829656661807104,22
0.4911530072039935,22
0.49115300720399374,22
0.4911530072039945,22
0.3993782966632495,22
1.606480746108784,22
0.34902437745854925,22
0.5305813062747451,22
0.5315626750527049,20
0.5953295336312175,20
1.9863622019191718,34
2.098820219729317,34
2.098820219729317,34
1.5040596468053993,34
0.5315626750527049,20
0.5187169065143127,20
0.44389860928137476,20
0.44389860928137465,20
0.4487710621467605,22
0.3927184580642385,22
0.4452691048744033,22
0.4007582755538018,22
0.5937470216509855,22
1.6406586829721719,32
nan,22
nan,20
nan,20
nan,20
0.7047625012334385,32
0.7542733695022493,32
0.7542733695022498,32
0.7542733695022488,32
0.7542733695022488,32
0.7542733695022493,32
0.7542733695022492,32
0.7542733695022492,32
0.7684294566669111,34
0.7053456892618696,34
0.6854699201576805,32
0.7342643739058637,32
0.7542733695022493,32
0.7542733695022493,32
0.7542733695022491,32
0.7542733695022492,32
0.7542733695022491,32
0.7279698058196373,32
0.6151831438860493,30
0.5921306075460622,30
0.4708125864447712,30
0.37176198459482834,30
0.37176198459482834,30
0.371761984594828,30
0.39260012492947494,30
0.4049714813006468,30
0.4049714813006468,30
0.4049714813006468,30
0.36950065566323126,30
0.4125753081132918,30
0.4125753081132918,30
0.4125753081132918,30
0.40331930219764794,30
0.39117549047581246,28
0.3543790647577429,28
0.4225120268356101,26
0.4225120268356101,26
0.4341366823143985,28
0.5045605740178781,28
0.5045605740178781,28
0.5190832534536123,30
0.632047198352887,32
0.6854699201576808,32
0.6854699201576808,32
0.685469920157681,32
0.6854699201576808,32
0.7309551103456763,32
0.7542733695022491,32
0.8222579674684674,32
0.8222579674684671,32
0.8222579674684671,32
0.9180020117599976,34
0.9180020117599976,34
0.8522569972192897,34
0.8522569972192905,34
0.758205071274576,34
0.6170000150385684,32
0.6170000150385684,32
0.6170000150385684,32
0.5877184176737241,32
0.617000015038569,32
0.7542733695022491,32
0.7542733695022493,32
0.9468196910880223,32
0.9317223103721258,32
0.7145908874146127,32
0.427642613303514,36
0.324288080172362,38
