measurement_name,total_positioning,under_5m,under_2m,under_1m
20231112_194354,75,74,73,68
20231112_195254,20,20,20,20
20231112_195352,20,20,20,20
20231112_195453,30,30,30,30
20231112_195857,27,23,21,17
20231112_200001,63,63,63,63
20231112_200039,32,32,32,32
20231112_200125,33,33,33,31
20231112_200250,31,30,30,30
20231112_200305,34,34,34,34
20231112_200322,67,67,67,53
20231112_200424,35,35,35,0
20231112_200529,34,31,30,29
20231112_200635,33,33,33,19
20231112_200652,41,40,0,0
20231112_200706,31,27,15,7
20231112_200756,40,40,40,40
20231112_200834,42,41,41,38
20231112_200849,38,10,0,0
20231112_200922,34,14,0,0
20231112_201022,50,50,44,43
20231112_201110,43,13,0,0
20231112_201126,38,0,0,0
20231112_201152,45,33,27,20
